"name","close_approach_date","estimated_diameter_max_m","is_potentially_hazardous","relative_velocity_kph","miss_distance_km"
"431760 (2008 HE)","2025-04-08 00:00:00","1419.1881583761",False,"164703.8053546693","40795631.10420309"
"85953 (1999 FK21)","2025-04-08 00:00:00","1412.6675810887",False,"68356.9945001192","12078251.168758862"
"(2021 LM1)","2025-04-07 00:00:00","483.1032718379",False,"141357.4076713327","36668670.25137593"
"(2008 FW6)","2025-04-09 00:00:00","375.0075217981",True,"96437.7243550494","65299890.65493427"
"(2003 GQ22)","2025-04-07 00:00:00","323.623446563",True,"32031.6744851954","7500285.724212032"
"(2010 VD72)","2025-04-07 00:00:00","292.4421571708",True,"44145.9878778508","42217986.947817884"
"(2018 UQ1)","2025-04-07 00:00:00","242.1251923687",True,"75905.1897090196","47149702.33169272"
"(2019 US14)","2025-04-10 00:00:00","225.9643771094",False,"65442.4277848492","61372928.72040838"
"(2010 GB6)","2025-04-09 00:00:00","225.9643771094",False,"71276.798138927","53576204.27014152"
"(2003 HN16)","2025-04-08 00:00:00","220.8207999214",False,"60494.5559741476","55086209.92466334"
